date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:16	181320/181320	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202020%2012:39:05%20GMT	https://login.microsoftonline.com/common/oauth2/authorize?client_id=4345a7b9-9a63-4910-a426-35363201d503&redirect_uri=https%3A%2F%2Fwww.office.com%2Flanding&response_type=code%20id_token&scope=openid%20profile&response_mode=form_post&nonce=637363749807678544.YzVhNzM1YjMtNWE2MC00MmI2LWJjOTMtNGNhNjVlZGU5YmU3Njg4OTY2OTYtMzNlMy00YmEwLWExMTYtZjFkZjU1NmYwOW	C:/My%20Web%20Sites/email/login.microsoftonline.com/common/oauth2/authorizef3ef.html	(from )
13:39:17	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Sep%202020%2012:39:17%20GMT	https://login.microsoftonline.com/robots.txt		(from )
13:39:18	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Sep%202020%2012:39:17%20GMT	https://login.microsoftonline.com/common/oauth2/POST	C:/My%20Web%20Sites/email/login.microsoftonline.com/common/oauth2/POST.1.delayed	(from https://login.microsoftonline.com/common/oauth2/authorize?client_id=4345a7b9-9a63-4910-a426-35363201d503&redirect_uri=https%3A%2F%2Fwww.office.com%2Flanding&response_type=code%20id_token&scope=openid%20profile&response_mode=form_post&nonce=637363749807678544.YzVhNzM1YjMtNWE2MC00MmI2LWJjOTMtNGNhNjVlZGU5YmU3Njg4OTY2OTYtMzNlMy00YmEwLWExMTYtZjFkZjU1NmYwOW)
13:39:18	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Sep%202020%2012:39:17%20GMT	https://login.microsoftonline.com/common/oauth2/Trident/	C:/My%20Web%20Sites/email/login.microsoftonline.com/common/oauth2/Trident/index.html	(from https://login.microsoftonline.com/common/oauth2/authorize?client_id=4345a7b9-9a63-4910-a426-35363201d503&redirect_uri=https%3A%2F%2Fwww.office.com%2Flanding&response_type=code%20id_token&scope=openid%20profile&response_mode=form_post&nonce=637363749807678544.YzVhNzM1YjMtNWE2MC00MmI2LWJjOTMtNGNhNjVlZGU5YmU3Njg4OTY2OTYtMzNlMy00YmEwLWExMTYtZjFkZjU1NmYwOW)
13:39:22	624031/624031	---M-Z	200	added ('OK')	application/x-javascript	etag:0x8D8466D6DD591BB	https://aadcdn.msauth.net/shared/1.0/content/js/OldConvergedLogin_PCore_d7zWk06djGrfNYjCgW-mUQ2.js	C:/My%20Web%20Sites/email/aadcdn.msauth.net/shared/1.0/content/js/OldConvergedLogin_PCore_d7zWk06djGrfNYjCgW-mUQ2.js	(from https://login.microsoftonline.com/common/oauth2/authorize?client_id=4345a7b9-9a63-4910-a426-35363201d503&redirect_uri=https%3A%2F%2Fwww.office.com%2Flanding&response_type=code%20id_token&scope=openid%20profile&response_mode=form_post&nonce=637363749807678544.YzVhNzM1YjMtNWE2MC00MmI2LWJjOTMtNGNhNjVlZGU5YmU3Njg4OTY2OTYtMzNlMy00YmEwLWExMTYtZjFkZjU1NmYwOW)
13:39:23	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Sep%202020%2012:39:22%20GMT	https://login.microsoftonline.com/common/oauth2/GET	C:/My%20Web%20Sites/email/login.microsoftonline.com/common/oauth2/GET.3.delayed	(from https://login.microsoftonline.com/common/oauth2/authorize?client_id=4345a7b9-9a63-4910-a426-35363201d503&redirect_uri=https%3A%2F%2Fwww.office.com%2Flanding&response_type=code%20id_token&scope=openid%20profile&response_mode=form_post&nonce=637363749807678544.YzVhNzM1YjMtNWE2MC00MmI2LWJjOTMtNGNhNjVlZGU5YmU3Njg4OTY2OTYtMzNlMy00YmEwLWExMTYtZjFkZjU1NmYwOW)
13:39:26	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Sep%202020%2012:39:25%20GMT	https://login.microsoftonline.com/common/oauth2/{0}	C:/My%20Web%20Sites/email/login.microsoftonline.com/common/oauth2/{0}.4.delayed	(from https://aadcdn.msauth.net/shared/1.0/content/js/OldConvergedLogin_PCore_d7zWk06djGrfNYjCgW-mUQ2.js)
13:39:27	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Sep%202020%2012:39:26%20GMT	https://login.microsoftonline.com/common/oauth2/signin-facebook.png	C:/My%20Web%20Sites/email/login.microsoftonline.com/common/oauth2/signin-facebook.5.delayed	(from https://aadcdn.msauth.net/shared/1.0/content/js/OldConvergedLogin_PCore_d7zWk06djGrfNYjCgW-mUQ2.js)
13:39:27	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Sep%202020%2012:39:26%20GMT	https://login.microsoftonline.com/common/oauth2/Edge/	C:/My%20Web%20Sites/email/login.microsoftonline.com/common/oauth2/Edge/index.html	(from https://aadcdn.msauth.net/shared/1.0/content/js/OldConvergedLogin_PCore_d7zWk06djGrfNYjCgW-mUQ2.js)
13:39:28	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Sep%202020%2012:39:28%20GMT	https://login.microsoftonline.com/common/oauth2/{0}.jpg	C:/My%20Web%20Sites/email/login.microsoftonline.com/common/oauth2/{0}.6.delayed	(from https://aadcdn.msauth.net/shared/1.0/content/js/OldConvergedLogin_PCore_d7zWk06djGrfNYjCgW-mUQ2.js)
